Name,Region,Size,Population,Density
City of Melbourne,Inner Melbourne,37,169961,4593.5
City of Port Phillip,Inner Melbourne,21,113200,5390.5
City of Stonnington,Inner Melbourne,26,116207,4469.5
City of Yarra,Inner Melbourne,20,98521,4926.1
City of Banyule,Metropolitan Melbourne,63,130237,2067.3
City of Bayside,Metropolitan Melbourne,37,105718,2857.2
City of Boroondara,Metropolitan Melbourne,60,181289,3021.5
City of Darebin,Metropolitan Melbourne,54,161609,2992.8
City of Glen Eira,Metropolitan Melbourne,39,153858,3945.1
City of Hobsons Bay,Metropolitan Melbourne,64,96470,1507.3
City of Kingston,Metropolitan Melbourne,91,163431,1795.9
City of Manningham,Metropolitan Melbourne,113,125508,1110.7
City of Maribyrnong,Metropolitan Melbourne,31,91387,2948.0
City of Monash,Metropolitan Melbourne,82,200077,2440.0
City of Moonee Valley,Metropolitan Melbourne,43,127883,2974.0
City of Moreland,Metropolitan Melbourne,51,181725,3563.2
City of Whitehorse,Metropolitan Melbourne,64,176196,2753.1
City of Brimbank,Outer Metropolitan,123,208714,1696.9
Shire of Cardinia,Outer Metropolitan,1283,107120,83.5
City of Casey,Outer Metropolitan,409,340419,832.3
City of Frankston,Outer Metropolitan,130,141845,1091.1
City of Greater Dandenong,Outer Metropolitan,130,166094,1277.6
City of Hume,Outer Metropolitan,504,224394,445.2
City of Knox,Outer Metropolitan,114,163203,1431.6
City of Maroondah,Outer Metropolitan,61,117498,1926.2
City of Melton,Outer Metropolitan,528,156713,296.8
Shire of Mornington Peninsula,Outer Metropolitan,724,165822,229.0
Shire of Nillumbik,Outer Metropolitan,432,64941,150.3
City of Whittlesea,Outer Metropolitan,490,223322,455.8
City of Wyndham,Outer Metropolitan,542,255322,471.1
Shire of Yarra Ranges,Outer Metropolitan,2468,158173,64.1
