,Name,Affordable %,Weighted Score,Region
banyule,City of Banyule,2.25,17.4,Metropolitan Melbourne
bayside,City of Bayside,0.475,14.56,Metropolitan Melbourne
boroondara,City of Boroondara,0.7750000000000001,13.28,Metropolitan Melbourne
brimbank,City of Brimbank,11.325,17.84,Outer Metropolitan
cardinia,Shire of Cardinia,27.724999999999998,17.49,Outer Metropolitan
casey,City of Casey,17.5,12.6,Outer Metropolitan
darebin,City of Darebin,2.15,17.13,Metropolitan Melbourne
frankston,City of Frankston,8.7,15.48,Outer Metropolitan
glen eira,City of Glen Eira,1.1749999999999998,6.98,Metropolitan Melbourne
greater dandenong,City of Greater Dandenong,6.1499999999999995,10.24,Outer Metropolitan
hobsons bay,City of Hobsons Bay,3.2,25.34,Metropolitan Melbourne
hume,City of Hume,9.774999999999999,8.07,Outer Metropolitan
kingston,City of Kingston,1.225,18.92,Metropolitan Melbourne
knox,City of Knox,2.6750000000000003,20.62,Outer Metropolitan
manningham,City of Manningham,1.0999999999999999,20.13,Metropolitan Melbourne
maribyrnong,City of Maribyrnong,2.05,13.35,Metropolitan Melbourne
maroondah,City of Maroondah,2.2,14.2,Outer Metropolitan
melbourne,City of Melbourne,1.425,26.54,Inner Melbourne
melton,City of Melton,35.3,6.23,Outer Metropolitan
monash,City of Monash,2.175,12.94,Metropolitan Melbourne
moonee valley,City of Moonee Valley,1.45,14.71,Metropolitan Melbourne
moreland,City of Moreland,1.5499999999999998,12.63,Metropolitan Melbourne
mornington peninsula,Shire of Mornington Peninsula,6.125,12.48,Outer Metropolitan
nillumbik,Shire of Nillumbik,13.225,23.57,Outer Metropolitan
port phillip,City of Port Phillip,0.875,21.87,Inner Melbourne
stonnington,City of Stonnington,1.15,8.19,Inner Melbourne
whitehorse,City of Whitehorse,2.2,12.79,Metropolitan Melbourne
whittlesea,City of Whittlesea,10.450000000000001,23.92,Outer Metropolitan
wyndham,City of Wyndham,30.150000000000006,12.18,Outer Metropolitan
yarra,City of Yarra,0.75,19.61,Inner Melbourne
yarra ranges,Shire of Yarra Ranges,3.75,63.62,Outer Metropolitan
